0.0,91.5516,60.9162,5.3193,86.5385,11.5385,1.9231,3532.0000,508.0000,82.0000,55.0000,31.4485,74.7825,32.7803
0.1,91.5516,60.9162,5.3193,86.5385,11.5385,1.9231,3532.0000,508.0000,82.0000,55.0000,31.4485,74.7825,32.7803
0.2,91.5516,60.9162,5.3193,86.5385,11.5385,1.9231,3532.0000,508.0000,82.0000,55.0000,31.4485,74.7825,32.7803
0.3,91.5184,61.2397,5.2455,86.5385,11.5385,1.9231,3483.0000,510.0000,79.0000,56.0000,32.2801,74.7804,33.5622
0.4,91.5184,65.2555,4.4127,86.5385,11.5385,1.9231,2930.0000,510.0000,79.0000,56.0000,41.4768,74.7804,42.7590
0.5,91.6182,72.7933,3.1009,86.5385,11.5385,1.9231,2059.0000,504.0000,80.0000,53.0000,56.0452,74.7871,57.3439
0.6,91.4020,88.3885,1.0873,86.5385,11.5385,1.9231,722.0000,517.0000,73.0000,55.0000,78.1806,74.7874,79.3636
0.7,86.4294,96.0451,0.3223,78.8462,15.3846,5.7692,214.0000,816.0000,84.0000,70.0000,81.4735,75.6889,82.8384
0.8,19.4246,96.6088,0.0617,0.0000,40.3846,59.6154,41.0000,4845.0000,124.0000,125.0000,16.6805,77.6124,18.7079
0.9,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,6013.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,6013.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-1,36.7242,52.5944,0.5460,30.2908,13.5462,19.7123,362.5146,1612.9899,55.6136,49.6400,29.7705,44.1115,30.6763
